,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxa_g
OTU315,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas
OTU3151,k__Bacteria,p__Armatimonadetes,c__Chthonomonadetes,o__Chthonomonadales,f__,g__,s__,k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales|f__|g__
OTU31528,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus
OTU31536,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae|g__
OTU31569,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__,s__,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__
OTU316,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Kineococcus,s__,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae|g__Kineococcus
OTU3161,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__MND1,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Nitrosomonadaceae|g__MND1
OTU31623,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU317,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__Gitt-GS-136|o__|f__|g__
OTU3170,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU31710,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU31792,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Pajaroellobacter,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Pajaroellobacter
OTU318,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__
OTU3181,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Longimicrobia|o__Longimicrobiales|f__Longimicrobiaceae|g__
OTU31867,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Arenimonas
OTU319,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhodomicrobiaceae,g__Rhodomicrobium,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodomicrobiaceae|g__Rhodomicrobium
OTU31917,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__
OTU32,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__
OTU320,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_17|o__|f__|g__
OTU3201,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU32015,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__
OTU32020,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__,g__,s__,k__Bacteria|p__Rokubacteria|c__NC10|o__Rokubacteriales|f__|g__
OTU3204,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__
OTU32071,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__TRA3-20|g__
OTU321,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Anaerotruncus,s__,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus
OTU32191,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__
OTU322,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__,k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus
OTU3224,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU323,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__
OTU32305,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus
OTU32317,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Ellin6067,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Nitrosomonadaceae|g__Ellin6067
OTU324,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__,s__,k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__
OTU3244,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__Nordella,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__|g__Nordella
OTU32461,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU32471,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Devosiaceae|g__Devosia
OTU325,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas_chelatiphaga,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas
OTU326,k__Bacteria,p__Chloroflexi,c__OLB14,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__OLB14|o__|f__|g__
OTU32660,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas
OTU3267,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__,g__,s__,k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales|f__|g__
OTU327,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__
OTU32761,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Bosea
OTU32763,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__|g__
OTU328,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__Gitt-GS-136|o__|f__|g__
OTU3280,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU3286,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Haliangiaceae|g__Haliangium
OTU3288,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU329,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__
OTU3292,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU32996,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__
OTU33,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__Nordella,s__Nordella_oligomobilis,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__|g__Nordella
OTU330,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU33011,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas
OTU3302,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__,k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__A4b|g__
OTU33024,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__
OTU33029,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ramlibacter,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Ramlibacter
OTU331,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Clostridium_sensu_stricto_1,s__,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae_1|g__Clostridium_sensu_stricto_1
OTU33191,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium
OTU332,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__|g__
OTU333,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_acidifaciens,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides
OTU33301,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU33325,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__S0134_terrestrial_group|o__|f__|g__
OTU3338,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__|f__|g__
OTU3339,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas
OTU33397,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU334,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Tetragenococcus,s__Tetragenococcus_halophilus_subsp,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus
OTU335,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__,k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__A4b|g__
OTU3354,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU336,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__TRA3-20|g__
OTU3361,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__|f__|g__
OTU3362,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU33661,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus
OTU3369,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU337,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Glycomycetales,f__Glycomycetaceae,g__Glycomyces,s__Glycomyces_sp,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Glycomycetales|f__Glycomycetaceae|g__Glycomyces
OTU33703,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas
OTU33728,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU3376,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Niastella
OTU33840,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Aquabacterium,s__Aquabacterium_citratiphilum,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Aquabacterium
OTU3387,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas
OTU339,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Elsterales|f__|g__
OTU3392,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__
OTU3396,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU34,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Phyllobacterium,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Phyllobacterium
OTU340,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus
OTU34020,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Chryseolinea,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__Chryseolinea
OTU341,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Lechevalieria,s__,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Lechevalieria
OTU342,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU34208,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU34239,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales|f__Bdellovibrionaceae|g__OM27_clade
OTU34298,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__
OTU343,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__
OTU344,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Blastocatellales,f__Blastocatellaceae,g__Aridibacter,s__,k__Bacteria|p__Acidobacteria|c__Blastocatellia_Subgroup_4|o__Blastocatellales|f__Blastocatellaceae|g__Aridibacter
OTU345,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium
OTU3457,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatirosa,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa
OTU346,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Domibacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Domibacillus
OTU34624,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Haliangiaceae|g__Haliangium
OTU34629,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__,g__,s__,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__|f__|g__
OTU34634,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas
OTU34640,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas
OTU3467,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__
OTU34672,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Devosiaceae|g__Devosia
OTU347,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__
OTU3470,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Pseudolabrys
OTU34771,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__
OTU348,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aureimonas,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Aureimonas
OTU34898,k__Bacteria,p__,c__,o__,f__,g__,s__,k__Bacteria|p__|c__|o__|f__|g__
OTU349,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__,k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__A4b|g__
OTU3496,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Caenimonas,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Caenimonas
OTU35,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__
OTU350,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Segetibacter
OTU35045,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Tardiphaga,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Tardiphaga
OTU35086,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Longimicrobia|o__Longimicrobiales|f__Longimicrobiaceae|g__
OTU351,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__
OTU3513,k__Bacteria,p__Chloroflexi,c__TK10,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__TK10|o__|f__|g__
OTU35138,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__
OTU35146,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Massilia,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Massilia
OTU352,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Ohtaekwangia,s__Bacteroidetes_bacterium_GS,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__Ohtaekwangia
OTU3526,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas
OTU35295,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__
OTU353,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,s__Chitinophaga_oryziterrae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga
OTU3530,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__211ds20,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__211ds20|f__|g__
